producto_id,nombre,stock_v,costo_v,stock_n,costo_n,stock_apertura,costo_apertura,fuente_costo
109,POSTURA - URIAS,,,0.0000,63.6282,0.0000,63.6282,N_CERO
112,MAIZ GRANO,3.30,72.44,3.3000,73.0000,3.3000,72.4400,V_AUTORITATIVO
113,VIUSID,23.04,202.81,23.0400,202.3450,23.0400,202.8100,V_AUTORITATIVO
117,MAIZ CHANCADO,135.42,73.39,135.4100,73.3470,135.4200,73.3900,V_AUTORITATIVO
118,BUTIREX,-0.10,753.50,-0.0500,753.3497,-0.1000,753.5000,V_AUTORITATIVO
123,POSTURA - CODORNIZ,,,0.0000,71.8900,0.0000,71.8900,N_CERO
129,ENZINAT PRO,-0.52,79.94,-0.5000,78.9400,-0.5200,79.9400,V_AUTORITATIVO
130,ENGORDE TORO X50KG,72.00,45.53,72.0000,45.5398,72.0000,45.5300,V_AUTORITATIVO
133,NUCLEO : INICIO,,,0.0000,0.0000,0.0000,0.0000,N_CERO
134,NUCLEO : CRECIMIENTO CERDO I,3.00,193.34,3.0000,193.2489,3.0000,193.3400,V_AUTORITATIVO
135,NUCLEO: CRECIMIENTO CERDO II,8.00,147.67,8.0000,147.5804,8.0000,147.6700,V_AUTORITATIVO
136,NUCLEO: ENGORDE CERDO,12.00,113.89,12.0000,113.8249,12.0000,113.8900,V_AUTORITATIVO
137,NUCLEO: MARRANA GESTANTE,4.00,109.23,4.0000,109.1751,4.0000,109.2300,V_AUTORITATIVO
138,NUCLEO: MARRANA LACTANTE,7.00,108.87,7.0000,108.7891,7.0000,108.8700,V_AUTORITATIVO
139,NUCLEO: CRECIMEINTO AVES,5.00,127.38,5.0000,127.5176,5.0000,127.3800,V_AUTORITATIVO
140,CUY- RECRIA,,,0.0000,66.8500,0.0000,66.8500,N_CERO
141,NUCLEO: ENGORDE AVES,7.00,96.44,7.0000,96.6399,7.0000,96.4400,V_AUTORITATIVO
143,GLUTEN DE MAIZ,,,0.0000,113.0000,0.0000,113.0000,N_CERO
144,POSTURA CRIOLLAS,,,0.0000,83.8800,0.0000,83.8800,N_CERO
145,ACEITE X 20L,939.00,7.06,939.0000,7.0641,939.0000,7.0641,N_4D_REDONDEA_V
146,MAIZ IMPORTADO,,,0.0000,67.0000,0.0000,67.0000,N_CERO
148,CUY- AUDIAS ANTERIOR,,,0.0000,62.4400,0.0000,62.4400,N_CERO
149,BALANCEADO - CABALLOS,6.00,63.00,6.0000,63.0000,6.0000,63.0000,N_4D_REDONDEA_V
150,OXIDO MAGNESIO,5.60,73.53,5.6000,75.3700,5.6000,73.5300,V_AUTORITATIVO
151,ACEITE PALMA (BALDE),200.00,4.59,200.0000,4.5902,200.0000,4.5902,N_4D_REDONDEA_V
153,HALQUINOL 60%,0.66,1280.00,0.5900,1280.0000,0.6600,1280.0000,N_4D_REDONDEA_V
154,GRASETO ENERGY X25KG,17.20,200.94,17.2000,200.9006,17.2000,200.9400,V_AUTORITATIVO
155,MAIZ FINO,175.10,75.09,175.1300,75.0059,175.1000,75.0900,V_AUTORITATIVO
156,HARENILLA X50KG,,,0.0000,59.0000,0.0000,59.0000,N_CERO
157,MELAZA BOLSA (30K),,,0.0000,26.5000,0.0000,26.5000,N_CERO
158,CUY-ENGORDE,3.00,66.13,3.0000,65.9733,3.0000,66.1300,V_AUTORITATIVO
159,CUY-REPRODUCTORAS,12.00,69.79,12.0000,70.0615,12.0000,69.7900,V_AUTORITATIVO
